X,Y,OBJECTID,FACILITYID,LASTUPDATE,NOTES,INTID,STATION,HOSETOWER,STNUM,STDIRECTION,STNAME,STTYPE,XCENTROID,YCENTROID,STATUS,BATTALION
6156184.00728258,1948832.97896373,35,1,2021/09/30 21:00:21+00,,1,1,YES,225,N,Market,St,-121.89481082,37.33874331,OPEN,1
6174772.83427808,1957997.74377064,36,2,2021/09/30 21:00:21+00,,2,2,YES,2949, ,Alum Rock,Av,-121.8313248,37.36465496,OPEN,2
6160858.71315625,1943132.95985198,37,3,2021/09/30 21:00:21+00,,3,3,YES,98, ,Martha,St,-121.87844396,37.32328031,OPEN,1
6147799.962699,1940137.32509524,38,4,2021/09/30 21:00:21+00,,4,4,YES,710, ,Leigh,Av,-121.92319166,37.31451697,OPEN,10
6155032.57979542,1958706.92378274,39,5,2021/09/30 21:00:21+00,,5,5,YES,1380,N,Tenth,St,-121.89927881,37.36581157,OPEN,29
6153389.42002399,1935285.32430056,40,6,2021/09/30 21:00:21+00,,6,6,YES,1386, ,Cherry,Av,-121.90372346,37.30142444,OPEN,10
6149824.57511958,1949872.14814523,41,7,2021/09/30 21:00:21+00,,7,7,NO,800, ,Emory,St,-121.91673728,37.34133468,OPEN,1
6162244.55487275,1950563.51388848,42,8,2021/09/30 21:00:21+00,,8,8,NO,802,E,Santa Clara,St,-121.87405369,37.34374188,OPEN,1
6149517.49010383,1921529.55259956,43,9,2021/09/30 21:00:21+00,,9,9,YES,3410, ,Ross,Av,-121.91631806,37.26348861,OPEN,10
6141975.50223508,1941626.02782647,44,10,2021/09/30 21:00:21+00,,10,10,YES,511,S,Monroe,St,-121.94329642,37.31836019,OPEN,10
6194019.94309349,1930651.05404156,45,11,2021/09/30 21:00:21+00,,11,11,NO,2840, ,The Villages Parkway, ,-121.76383189,37.29028816,OPEN,2
6168985.44001299,1913819.90758581,46,12,2021/09/30 21:00:21+00,,12,12,NO,5912, ,Cahalan,Dr,-121.84904561,37.24310649,OPEN,13
6164089.61023775,1922752.80310582,47,13,2021/09/30 21:00:21+00,,13,13,YES,4380, ,Pearl,Av,-121.86631074,37.26744285,OPEN,13
6131256.39047125,1935995.63521589,48,14,2021/09/30 21:00:21+00,,14,14,YES,1201, ,San Tomas Aquino,Rd,-121.97984667,37.30243859,OPEN,10
6118593.23108633,1935840.67883289,49,15,2021/09/30 21:00:21+00,,15,15,NO,1248, ,Blaney,Av,-122.02336919,37.30145504,OPEN,10
6174429.27230117,1944605.32797022,50,16,2021/09/30 21:00:21+00,,16,16,YES,2001,S,King,Rd,-121.83185106,37.32786338,OPEN,2
6158465.93808617,1915436.76983765,51,17,2021/09/30 21:00:21+00,,17,17,NO,5170, ,Coniston,Wy,-121.88526207,37.24712464,OPEN,13
6174992.54446858,1924625.56970148,52,18,2021/09/30 21:00:21+00,,18,18,YES,4430,S,Monterey,Rd,-121.82893828,37.27301701,OPEN,13
6170353.18432474,1970694.26955864,53,19,2021/09/30 21:00:21+00,,19,19,NO,3292, ,Sierra,Rd,-121.84715986,37.39934825,OPEN,2
6149604.01683366,1956137.70188706,54,20,2021/09/30 21:00:21+00,,20,20,NO,1433, ,Airport,Bl,-121.9178224,37.35853169,OPEN,29
6182312.18041983,1949348.98416531,55,21,2021/09/30 21:00:21+00,,21,21,NO,2100,S,White,Rd,-121.8049699,37.3411954,OPEN,2
6163458.19122499,1906252.21143514,56,22,2021/09/30 21:00:21+00,,22,22,YES,6461, ,Bose,Ln,-121.86765172,37.22210382,OPEN,13
6161094.8239045,1971697.81020248,57,23,2021/09/30 21:00:21+00,,23,23,NO,1771, ,Via Cinco de Mayo, ,-121.87907961,37.40173379,OPEN,29
6182960.63876858,1934182.24973506,58,24,2021/09/30 21:00:21+00,,24,24,YES,1924, ,Yerba Buena,Rd,-121.80201368,37.29956922,OPEN,2
6135286.38700442,1981287.85663915,59,25,2021/09/30 21:00:21+00,,25,25,NO,5125, ,Wilson,Wy,-121.96843619,37.42699109,OPEN,29
6169324.19491291,1936940.07722464,60,26,2021/09/30 21:00:21+00,,26,26,NO,528, ,Tully,Rd,-121.84902687,37.30661232,OPEN,1
6191428.38233174,1909728.26747514,61,27,2021/09/30 21:00:21+00,,27,27,NO,6027, ,San Ignacio,Rd,-121.77176226,37.23273304,OPEN,13
6175841.97682483,1897846.11079331,62,28,2021/09/30 21:00:21+00,,28,28,NO,19911, ,McKean,Rd,-121.82471659,37.19950825,OPEN,13
6145190.87047625,1971698.37581815,63,29,2021/09/30 21:00:21+00,,29,29,YES,199, ,Innovation,Dr,-121.93382501,37.40107892,OPEN,29
6155917.35820958,1943907.17615131,64,30,2021/09/30 21:00:21+00,,30,30,YES,454, ,Auzerais,Av,-121.89547528,37.32520531,OPEN,1
6191051.45395175,1939779.90750298,65,31,2021/09/30 21:00:21+00,,31,31,YES,3100, ,Ruby,Av,-121.77446253,37.31524746,OPEN,2
6164255.31167799,1956618.97126573,66,34,2021/09/30 21:00:21+00,,34,34,NO,1634, ,Las Plumas,Av,-121.86744182,37.36045211,OPEN,29
6181729.75343508,1916820.06661172,67,35,2021/09/30 21:00:21+00,,35,35,NO,135, ,Poughkeepsie,Rd,-121.8054124,37.25184192,OPEN,13
6166369.84419432,1929344.10455573,68,33,2021/09/30 21:00:21+00,,33,33,NO,2900, ,St. Florian,Wy,-121.85880447,37.28563496,CLOSED,1
6157553.84935917,1931838.3659714,69,37,2021/09/30 21:00:21+00,,37,37,NO,2175,,Lincoln,Av,-121.88923168,37.29212917,CLOSED,10
